dataset;algoritmo;MV;recall;precision;version;correct_imp;similar_imp;wrong_imp
EV_Vehicles_4000;Baseline20;12000;0.29375;0.7278546355564732;3;3496;29;1318
EV_Vehicles_4000;Baseline20;16000;0.116125;0.5681957186544343;3;1691;167;1412
EV_Vehicles_4000;Baseline20;20000;0.0005;0.006269592476489028;3;10;0;1585
EV_Vehicles_4000;Baseline;400;0.285;1.0;4;114;0;0
EV_Vehicles_4000;Baseline;800;0.27125;0.9079497907949791;4;217;0;22
EV_Vehicles_4000;Baseline;1200;0.235;0.9825783972125436;4;282;0;5
EV_Vehicles_4000;Baseline;1600;0.3375;0.9358752166377816;4;540;0;37
EV_Vehicles_4000;Baseline;2000;0.371;0.919454770755886;4;742;0;65
EV_Vehicles_4000;Baseline;4000;0.3295;0.8996587030716724;4;1318;0;147
EV_Vehicles_4000;Baseline;8000;0.3345;0.8295102293862369;4;2676;0;550
EV_Vehicles_4000;Baseline;12000;0.22566666666666665;0.6099099099099099;4;2664;44;1732
EV_Vehicles_4000;Baseline;16000;0.0016875;0.02383053839364519;4;27;0;1106
EV_Vehicles_4000;Baseline;20000;0.0474;0.2892007321537523;4;948;0;2330
EV_Vehicles_4000;Pipeline;400;0.1225;1.0;4;49;0;0
EV_Vehicles_4000;Pipeline;800;0.09625;1.0;4;77;0;0
EV_Vehicles_4000;Pipeline;1200;0.09083333333333334;1.0;4;109;0;0
EV_Vehicles_4000;Pipeline;1600;0.096875;1.0;4;155;0;0
EV_Vehicles_4000;Pipeline;2000;0.0895;1.0;4;179;0;0
EV_Vehicles_4000;Pipeline;4000;0.14475;0.9948453608247423;4;579;0;3
EV_Vehicles_4000;Pipeline;8000;0.221875;0.9899609592861126;4;1775;0;18
EV_Vehicles_4000;Pipeline;12000;0.23233333333333334;0.7880158281514981;4;2732;56;750
EV_Vehicles_4000;Pipeline;16000;0.181125;0.6148949713558243;4;2862;36;1815
EV_Vehicles_4000;Pipeline;20000;0.0475;0.423728813559322;4;950;0;1292
EV_Vehicles_4000;Pipeline_noRev;400;0.1625;0.9848484848484849;4;65;0;1
EV_Vehicles_4000;Pipeline_noRev;800;0.1525;0.9606299212598425;4;122;0;5
EV_Vehicles_4000;Pipeline_noRev;1200;0.1275;0.9807692307692307;4;153;0;3
EV_Vehicles_4000;Pipeline_noRev;1600;0.155625;0.9291044776119403;4;248;1;19
EV_Vehicles_4000;Pipeline_noRev;2000;0.1735;0.9719887955182073;4;347;0;10
EV_Vehicles_4000;Pipeline_noRev;4000;0.25325;0.9511737089201878;4;1007;6;52
EV_Vehicles_4000;Pipeline_noRev;8000;0.238375;0.8029473684210526;4;1892;15;468
EV_Vehicles_4000;Pipeline_noRev;12000;0.20008333333333334;0.5650741350906096;4;2370;31;1848
EV_Vehicles_4000;Pipeline_noRev;16000;0.1885625;0.4977726447780894;4;2965;52;3044
EV_Vehicles_4000;Pipeline_noRev;20000;0.0474;0.3262216104611149;4;948;0;1958
EV_Vehicles_4000;Hybrid;400;0.1625;0.9848484848484849;4;65;0;1
EV_Vehicles_4000;Hybrid;800;0.1525;0.9606299212598425;4;122;0;5
EV_Vehicles_4000;Hybrid;1200;0.1275;0.9807692307692307;4;153;0;3
EV_Vehicles_4000;Hybrid;1600;0.155625;0.9291044776119403;4;248;1;19
EV_Vehicles_4000;Hybrid;2000;0.1735;0.9719887955182073;4;347;0;10
EV_Vehicles_4000;Hybrid;4000;0.2535;0.952112676056338;4;1008;6;51
EV_Vehicles_4000;Hybrid;8000;0.25575;0.8614736842105263;4;2031;15;329
EV_Vehicles_4000;Hybrid;12000;0.24125;0.681336785125912;4;2857;38;1354
EV_Vehicles_4000;Hybrid;16000;0.193875;0.5117967332123412;4;3051;51;2959
EV_Vehicles_4000;Hybrid;20000;0.04745;0.3265657260839642;4;949;0;1957
EV_Vehicles_4000;Baseline20;400;0.265;1.0;4;106;0;0
EV_Vehicles_4000;Baseline20;800;0.21;0.9767441860465116;4;168;0;4
EV_Vehicles_4000;Baseline20;1200;0.21083333333333334;0.98828125;4;253;0;3
EV_Vehicles_4000;Baseline20;1600;0.320625;0.9293478260869565;4;513;0;39
EV_Vehicles_4000;Baseline20;2000;0.305;0.991869918699187;4;610;0;5
EV_Vehicles_4000;Baseline20;4000;0.32575;0.9247693399574166;4;1303;0;106
EV_Vehicles_4000;Baseline20;8000;0.321125;0.8626595030221625;4;2569;0;409
EV_Vehicles_4000;Baseline20;12000;0.15575;0.5518157661647476;4;1841;28;1518
EV_Vehicles_4000;Baseline20;16000;0.003625;0.03003625064733299;4;58;0;1873
EV_Vehicles_4000;Baseline20;20000;0.0474;0.2892007321537523;4;948;0;2330
EV_Vehicles_4000;Baseline;400;0.26;0.9904761904761905;5;104;0;1
EV_Vehicles_4000;Baseline;800;0.28375;1.0;5;227;0;0
EV_Vehicles_4000;Baseline;1200;0.3441666666666667;0.8900862068965517;5;413;0;51
EV_Vehicles_4000;Baseline;1600;0.25875;0.9857142857142858;5;414;0;6
EV_Vehicles_4000;Baseline;2000;0.3385;0.9185888738127544;5;677;0;60
EV_Vehicles_4000;Baseline;4000;0.329;0.9145239749826268;5;1316;0;123
EV_Vehicles_4000;Baseline;8000;0.3415;0.8303951367781155;5;2622;110;558
EV_Vehicles_4000;Baseline;12000;0.22033333333333333;0.6464547677261614;5;2460;184;1446
EV_Vehicles_4000;Baseline;16000;0.1426875;0.5247069639163411;5;2283;0;2068
EV_Vehicles_4000;Baseline;20000;0.00055;0.00746775288526816;5;11;0;1462
EV_Vehicles_4000;Pipeline;400;0.125;1.0;5;50;0;0
EV_Vehicles_4000;Pipeline;800;0.10125;1.0;5;81;0;0
EV_Vehicles_4000;Pipeline;1200;0.0925;1.0;5;111;0;0
EV_Vehicles_4000;Pipeline;1600;0.091875;1.0;5;147;0;0
EV_Vehicles_4000;Pipeline;2000;0.0945;1.0;5;189;0;0
EV_Vehicles_4000;Pipeline;4000;0.09675;1.0;5;387;0;0
EV_Vehicles_4000;Pipeline;8000;0.095;1.0;5;760;0;0
EV_Vehicles_4000;Pipeline;12000;0.17583333333333334;0.729346698928448;5;2064;46;783
EV_Vehicles_4000;Pipeline;16000;0.2189375;0.6871322087092978;5;3503;0;1595
EV_Vehicles_4000;Pipeline;20000;0.0046;0.041422782530391715;5;92;0;2129
EV_Vehicles_4000;Pipeline_noRev;400;0.1675;0.9852941176470589;5;67;0;1
EV_Vehicles_4000;Pipeline_noRev;800;0.14375;0.9745762711864406;5;115;0;3
EV_Vehicles_4000;Pipeline_noRev;1200;0.16166666666666665;0.9556650246305419;5;194;0;9
EV_Vehicles_4000;Pipeline_noRev;1600;0.155625;0.97265625;5;248;1;7
EV_Vehicles_4000;Pipeline_noRev;2000;0.1445;0.9665551839464883;5;289;0;10
EV_Vehicles_4000;Pipeline_noRev;4000;0.232;0.9498464687819856;5;927;1;49
EV_Vehicles_4000;Pipeline_noRev;8000;0.24975;0.8971710821733273;5;1962;36;229
EV_Vehicles_4000;Pipeline_noRev;12000;0.24133333333333334;0.6355058152293175;5;2745;151;1661
EV_Vehicles_4000;Pipeline_noRev;16000;0.19275;0.46403851941017155;5;3068;16;3562
EV_Vehicles_4000;Pipeline_noRev;20000;0.005;0.03590664272890485;5;100;0;2685
EV_Vehicles_4000;Hybrid;400;0.1675;0.9852941176470589;5;67;0;1
EV_Vehicles_4000;Hybrid;800;0.14375;0.9745762711864406;5;115;0;3
EV_Vehicles_4000;Hybrid;1200;0.16166666666666665;0.9556650246305419;5;194;0;9
EV_Vehicles_4000;Hybrid;1600;0.155625;0.97265625;5;248;1;7
EV_Vehicles_4000;Hybrid;2000;0.1445;0.9665551839464883;5;289;0;10
EV_Vehicles_4000;Hybrid;4000;0.232;0.9498464687819856;5;927;1;49
EV_Vehicles_4000;Hybrid;8000;0.24975;0.8971710821733273;5;1962;36;229
EV_Vehicles_4000;Hybrid;12000;0.235;0.618828176431863;5;2701;119;1737
EV_Vehicles_4000;Hybrid;16000;0.2223125;0.5352091483599157;5;3541;16;3089
EV_Vehicles_4000;Hybrid;20000;0.005;0.03590664272890485;5;100;0;2685
EV_Vehicles_4000;Baseline20;400;0.255;0.9902912621359223;5;102;0;1
EV_Vehicles_4000;Baseline20;800;0.24125;1.0;5;193;0;0
EV_Vehicles_4000;Baseline20;1200;0.2825;0.9769452449567724;5;339;0;8
EV_Vehicles_4000;Baseline20;1600;0.2475;0.9801980198019802;5;396;0;8
EV_Vehicles_4000;Baseline20;2000;0.3055;0.9133034379671151;5;611;0;58
EV_Vehicles_4000;Baseline20;4000;0.327;0.9329529243937232;5;1308;0;94
EV_Vehicles_4000;Baseline20;8000;0.36225;0.8483606557377049;5;2771;127;518
EV_Vehicles_4000;Baseline20;12000;0.28191666666666665;0.7012852404643449;5;3207;176;1441
EV_Vehicles_4000;Baseline20;16000;0.117375;0.535958904109589;5;1878;0;1626
EV_Vehicles_4000;Baseline20;20000;0.00055;0.00746775288526816;5;11;0;1462
actorfilms_4000;Pipeline;280;0.21785714285714286;0.9838709677419355;1;61;0;1
actorfilms_4000;Pipeline;560;0.1767857142857143;1.0;1;99;0;0
actorfilms_4000;Pipeline;840;0.15595238095238095;1.0;1;129;2;0
actorfilms_4000;Pipeline;1120;0.16964285714285715;0.979381443298969;1;190;0;4
actorfilms_4000;Pipeline;1400;0.18428571428571427;0.9961389961389961;1;258;0;1
actorfilms_4000;Pipeline;2800;0.14035714285714285;0.9703703703703703;1;392;1;12
actorfilms_4000;Pipeline;5600;0.13107142857142856;0.8738095238095238;1;729;5;106
actorfilms_4000;Pipeline;8400;0.0955952380952381;0.6916451335055986;1;771;32;358
actorfilms_4000;Pipeline;11200;0.055535714285714285;0.46005917159763315;1;596;26;730
actorfilms_4000;Pipeline;14000;0.04071428571428572;0.1306141154903758;1;306;264;3794
actorfilms_4000;Pipeline_noRev;280;0.21785714285714286;0.9838709677419355;1;61;0;1
actorfilms_4000;Pipeline_noRev;560;0.1767857142857143;1.0;1;99;0;0
actorfilms_4000;Pipeline_noRev;840;0.15595238095238095;1.0;1;129;2;0
actorfilms_4000;Pipeline_noRev;1120;0.16964285714285715;0.9693877551020408;1;190;0;6
actorfilms_4000;Pipeline_noRev;1400;0.185;0.9773584905660377;1;258;1;6
actorfilms_4000;Pipeline_noRev;2800;0.14107142857142857;0.9541062801932367;1;391;4;19
actorfilms_4000;Pipeline_noRev;5600;0.13125;0.8448275862068966;1;722;13;135
actorfilms_4000;Pipeline_noRev;8400;0.10083333333333333;0.5927221833449965;1;761;86;582
actorfilms_4000;Pipeline_noRev;11200;0.055089285714285716;0.4077990746860542;1;579;38;896
actorfilms_4000;Pipeline_noRev;14000;0.0425;0.12740899357601712;1;301;294;4075
