riga;nome attributo;valore da imputare;valore imputato
4300;shortname;GER;?
381;rider_name;Hayden Nicky;?
3835;rider;2532;?
1089;points;13;?
63;category;250cc;250cc
403;year;2006;?
637;number;34.0;34.0
399;country;ES;ES
3866;bike_name;Honda;?
1556;rider;2032;?
1399;team_name;JIR Moto2;?
3655;bike_name;Kalex;?
3400;shortname;SPA;?
3132;year;2017;?
4072;bike_name;Honda;?
942;rider_name;Di Meglio Mike;Di Meglio Mike
1810;number;61.0;?
1793;circuit_name;Estoril;?
782;category;MotoGP;MotoGP
527;rider_name;Bautista Alvaro;Lorenzo Jorge
2758;number;9.0;?
1164;shortname;RSM;?
1945;number;38.0;?
3598;circuit_name;Sepang;?
642;position;2;1
2606;bike_name;KTM;KTM
1389;bike_name;Derbi;Aprilia
3297;circuit_name;Motegi;?
786;circuit_name;Shanghai;?
2319;bike_name;Kalex;?
495;team_name;Ducati Marlboro Team;?
2307;rider_name;Marquez Alex;?
4085;shortname;FRA;?
2437;country;FI;CH
3372;year;2018;?
3138;team_name;Repsol Honda Team;?
2139;shortname;INP;?
4042;bike_name;Kalex;?
3588;points;16;?
4040;team_name;Red Bull KTM Tech 3;?
2812;position;2;2
4272;number;25.0;?
2779;circuit_name;Sepang;?
2609;circuit_name;Le Mans;?
3742;shortname;GER;?
1835;category;Moto2;Moto2
4134;circuit_name;Ricardo Tormo;?
821;shortname;ITA;?
1731;points;25;?
1873;circuit_name;Mugello;?
600;shortname;NED;?
251;shortname;QAT;?
2148;country;ES;ES
3052;circuit_name;Sepang;?
2151;year;2013;?
21;position;1;2
3181;circuit_name;Assen;?
189;rider_name;Di Meglio Mike;Di Meglio Mike
201;country;CH;CH
1699;rider;2080;2080
3563;circuit_name;Motegi;?
1553;rider;2259;2259
3251;circuit_name;Silverstone;?
3976;points;25;?
2708;rider_name;Rabat Tito;?
2980;country;DE;DE
3967;rider;2398;2152
342;shortname;NED;?
2475;rider;2364;2364
1206;points;25;?
1856;shortname;GER;?
517;shortname;TUR;?
443;country;ES;ES
1126;year;2009;?
1337;year;2010;?
1245;country;IT;ES
681;rider_name;Kallio Mika;?
1507;country;DE;IT
4317;rider_name;Torres Jordi;?
4076;shortname;FRA;?
1118;year;2009;?
3003;category;MotoGP;MotoGP
1336;team_name;Red Bull Ajo Motorsport;?
3214;year;2017;?
3720;team_name;SKY Racing Team VR46;?
2466;year;2014;?
3716;circuit_name;Catalunya;?
2190;position;5;?
2929;category;MotoGP;MotoGP
4205;rider_name;Fernandez Augusto;?
2183;rider_name;Rabat Tito;?
4405;year;2021;?
2581;category;MotoGP;MotoGP
2954;points;13;?
963;category;MotoGP;MotoGP
213;year;2005;?
3442;rider_name;Oliveira Miguel;?
494;year;2007;?
2228;circuit_name;Phillip Island;?
3392;country;FR;US
1891;position;1;?
4210;bike_name;Honda;?
3800;team_name;ONEXOX TKKR SAG Team;?
379;shortname;GER;?
2929;bike_name;Ducati;?
749;year;2008;?
3698;country;CH;CH
1994;rider;2059;?
85;circuit_name;Catalunya;?
636;circuit_name;Brno;?
745;year;2008;?
4110;rider;2330;?
3642;rider_name;Binder Darryn;?
918;category;125cc;250cc
2774;year;2015;?
1441;category;Moto2;Moto2
243;shortname;SPA;?
2785;country;IT;ES
1270;number;26.0;26.0
1688;shortname;ARA;?
621;rider;2004;?
1442;position;2;1
3613;rider_name;Mcphee John;Mcphee John
1144;rider_name;Smith Bradley;Smith Bradley
2594;team_name;Estrella Galicia 00;?
3517;year;2018;?
2706;rider_name;Zarco Johann;?
374;year;2006;?
2011;year;2013;?
2585;rider;2218;?
4220;shortname;SPA;?
4427;circuit_name;Misano;?
353;circuit_name;Assen;?
2207;country;ES;ES
727;rider_name;De Angelis Alex;?
195;position;5;?
411;bike_name;Aprilia;?
1189;number;17.0;65.0
1767;points;20;?
3786;shortname;AUT;?
1597;rider;2338;2338
3172;rider_name;Luthi Thomas;Luthi Thomas
3471;position;1;2
2743;rider;2470;?
2664;position;4;?
3966;points;25;?
3204;rider_name;Corsi Simone;?
2453;number;5.0;?
535;circuit_name;Shanghai;?
2951;points;25;?
1149;team_name;Repsol Honda Team;?
3802;bike_name;Honda;Honda
2407;year;2014;?
2146;year;2013;?
555;number;21.0;21.0
1866;shortname;GER;?
2821;bike_name;Honda;?
2582;position;2;?
3324;points;13;?
3293;rider;2459;?
4178;circuit_name;Losail;?
53;rider;2037;?
385;team_name;Rizla Suzuki MotoGP;?
3329;team_name;Leopard Racing;?
2090;bike_name;Kalex;Kalex
858;country;US;US
3395;year;2018;?
3856;position;1;5
1496;year;2011;?
4223;year;2021;?
3570;rider;2423;?
1737;circuit_name;Ricardo Tormo;?
3145;category;Moto2;Moto2
4317;year;2021;?
37;shortname;CHN;?
3681;team_name;EG 00 Marc VDS;?
1209;circuit_name;Sepang;?
2543;bike_name;Kalex;?
403;team_name;Repsol Honda Team;?
4177;circuit_name;Losail;?
1230;points;11;?
1887;country;ES;ES
1082;shortname;NED;?
796;rider_name;Rossi Valentino;Rossi Valentino
2140;year;2013;?
4001;position;1;2
2094;rider_name;Marquez Alex;?
108;rider;1310;?
3982;number;75.0;?
482;circuit_name;Losail;?
3201;country;IT;IT
3750;circuit_name;Sachsenring;?
4277;points;20;?
3660;team_name;SIC58 Squadra Corse;?
4071;team_name;Ducati Team;?
3407;country;IT;?
2318;number;94.0;?
516;number;24.0;24.0
3629;points;13;?
3296;country;IT;IT
2502;circuit_name;Phillip Island;?
3905;bike_name;Suzuki;Suzuki
3938;rider_name;Martin Jorge;Martin Jorge
2832;rider_name;Navarro Jorge;Navarro Jorge
3218;points;16;?
892;bike_name;Ducati;?
1889;number;4.0;4.0
696;year;2007;?
1165;number;65.0;65.0
3148;circuit_name;Le Mans;?
3330;number;17.0;?
3254;year;2017;?
554;team_name;Ducati Marlboro Team;?
3861;points;25;?
1224;bike_name;Yamaha;Yamaha
4359;bike_name;Ducati;?
2422;category;Moto2;125cc
4176;country;ES;ES
625;shortname;GER;?
2460;rider;2535;?
338;country;ES;ES
1841;position;1;2
406;rider_name;Lorenzo Jorge;?
2783;bike_name;Kalex;?
1133;team_name;San Carlo Honda Gresini;?
4435;shortname;EMI;?
1682;year;2011;?
410;number;15.0;15.0
1378;team_name;Fiat Yamaha Team;?
2670;team_name;Ongetta-Rivacold;?
1895;category;MotoGP;MotoGP
2486;points;25;?
3571;shortname;AUS;?
4067;rider_name;Arbolino Tony;Toba Kaito
3731;category;Moto3;?
3164;circuit_name;Mugello;?
2868;circuit_name;Le Mans;?
3407;rider_name;Petrucci Danilo;?
3369;bike_name;Kalex;Kalex
2804;number;41.0;?
1899;bike_name;Kalex;?
3494;shortname;CZE;?
3267;team_name;Leopard Racing;?
772;points;20;?
3;team_name;Movistar Honda MotoGP;?
2630;team_name;Monster Yamaha Tech 3;?
3201;position;1;2
2011;number;40.0;40.0
3982;rider_name;Arenas Albert;?
3420;country;IT;IT
3849;category;Moto2;?
4282;shortname;CAT;?
2137;circuit_name;Indianapolis;?
3816;country;JP;JP
1157;team_name;Bancaja Aspar Team 125cc;?
1355;position;5;3
1360;position;5;?
3123;points;16;25
242;shortname;SPA;?
4282;points;20;?
2169;circuit_name;Silverstone;?
404;category;MotoGP;MotoGP
1966;category;MotoGP;MotoGP
3859;shortname;JPN;?
1447;shortname;MAL;?
375;position;5;2
1999;year;2012;?
2252;points;20;?
896;country;ES;ES
1122;team_name;Mapfre Aspar Team;?
2425;circuit_name;Brno;?
2552;rider_name;Dovizioso Andrea;?
3892;country;ES;ES
1686;country;ES;ES
204;shortname;AUS;?
3356;team_name;Del Conca Gresini Moto3;?
1570;circuit_name;Catalunya;?
3224;circuit_name;Brno;?
1916;rider_name;Folger Jonas;Folger Jonas
4342;number;79.0;?
1396;shortname;RSM;?
2623;country;IT;IT
2199;position;4;3
214;points;13;?
2772;category;Moto3;Moto3
3579;rider;2615;?
618;shortname;GER;?
1758;rider_name;Espargaro Pol;?
1059;number;12.0;12.0
1271;category;Moto2;MotoGP
3393;shortname;SPA;?
139;shortname;CZE;?
856;rider_name;Stoner Casey;Stoner Casey
2470;category;Moto2;?
1681;team_name;Repsol Honda Team;?
3303;team_name;Movistar Yamaha MotoGP;?
1534;position;4;3
950;rider_name;Nakano Shinya;Nakano Shinya
374;position;4;3
4067;points;20;?
1561;rider_name;Bradl Stefan;?
991;rider_name;Stoner Casey;Stoner Casey
3049;year;2016;?
2814;country;MY;AU
2888;rider;2532;?
2507;points;20;?
3504;shortname;AUT;?
3521;rider_name;Dalla Porta Lorenzo;Dalla Porta Lorenzo
1516;category;Moto2;Moto2
4126;number;72.0;?
2687;position;2;?
4033;rider;2245;2245
4321;points;25;?
3519;points;13;16
127;rider_name;De Angelis Alex;?
2061;bike_name;KTM;?
4053;position;3;4
1420;team_name;Avant Mitsubishi Ajo;?
4054;year;2020;?
2355;category;Moto3;?
1589;rider_name;Rossi Valentino;Rossi Valentino
2879;country;ES;ES
4226;shortname;SPA;?
3143;rider_name;Luthi Thomas;?
1364;team_name;Monster Yamaha Tech 3;?
2512;rider;2037;?
3011;rider_name;Navarro Jorge;Guevara Juan Francisco
3999;team_name;Honda Team Asia;?
1568;team_name;Red Bull Ajo MotorSport;?
412;number;36.0;55.0
4089;bike_name;Energica;Energica
562;bike_name;Aprilia;?
4370;bike_name;Honda;?
3772;team_name;Repsol Honda Team;?
2782;circuit_name;Sepang;?
2953;bike_name;Honda;?
2402;position;2;2
2632;number;40.0;?
3987;year;2020;?
1494;year;2010;?
2041;rider;2202;?
490;country;IT;ES
1450;rider_name;Smith Bradley;?
397;circuit_name;Brno;?
248;number;75.0;46.0
666;position;1;?
2241;team_name;Tuenti HP 40;?
3416;rider_name;Arenas Albert;Arenas Albert
279;year;2006;?
2264;shortname;VAL;?
1342;category;MotoGP;250cc
1670;shortname;RSM;?
2387;points;20;?
645;position;5;?
4283;country;ES;ES
585;circuit_name;Donington Park;?
2541;number;94.0;?
1770;number;4.0;?
3604;rider;2107;2107
1444;year;2010;?
632;circuit_name;Brno;?
821;position;1;2
1943;circuit_name;Aragon;?
690;number;6.0;6.0
4410;rider_name;Martin Jorge;Baz Loris
3745;country;CH;CH
2508;position;3;5
4012;shortname;STY;?
2573;points;16;?
2001;rider;2396;2396
3631;circuit_name;Rio Hondo;?
3177;shortname;CAT;?
1406;position;1;?
3985;rider_name;Mcphee John;Mcphee John
1336;category;125cc;250cc
3987;number;36.0;?
4324;rider;2450;?
59;year;2005;?
2026;team_name;Mapfre Aspar Team Moto2;?
4425;bike_name;Ducati;?
2334;number;40.0;?
1877;shortname;ITA;?
4380;number;44.0;?
564;rider;2004;?
1342;country;ES;ES
3166;position;1;2
2512;category;Moto2;125cc
1758;bike_name;Kalex;?
4257;rider;2605;?
3232;team_name;EG 00 Marc VDS;?
2435;number;4.0;?
4394;country;GB;GB
2087;circuit_name;Catalunya;?
282;number;69.0;5.0
486;rider;1988;2052
1338;country;ES;ES
3866;rider_name;Dalla Porta Lorenzo;Dalla Porta Lorenzo
640;rider;2059;?
2639;category;Moto3;Moto3
1915;position;5;3
2813;bike_name;Speed Up;?
1294;points;13;?
547;category;125cc;125cc
947;team_name;Fiat Yamaha Team;?
938;rider_name;Debon Alex;Melandri Marco
4424;category;MotoGP;?
1966;rider_name;Pedrosa Dani;Pedrosa Dani
952;year;2008;?
3683;year;2019;?
1680;category;125cc;250cc
4318;circuit_name;Assen;?
1256;shortname;SPA;?
1069;country;IT;JP
913;team_name;Team Toth Aprilia;?
1164;position;4;5
122;category;MotoGP;MotoGP
3406;points;25;?
2711;number;52.0;?
2057;category;Moto2;125cc
184;number;1.0;1.0
1232;rider;2206;2206
358;points;16;?
3350;shortname;QAT;?
2918;rider;2517;2517
779;shortname;POR;?
1079;circuit_name;Catalunya;?
3417;rider;2509;?
4020;position;5;3
3183;country;ES;ES
1768;category;MotoGP;MotoGP
4219;rider;2553;2553
1520;shortname;SPA;?
3330;category;Moto3;?
273;bike_name;Honda;Honda
3105;bike_name;KTM;?
1057;points;20;?
1184;shortname;POR;?
832;shortname;CAT;?
106;shortname;GBR;?
1161;rider_name;Rossi Valentino;Rossi Valentino
3916;number;51.0;?
1247;shortname;QAT;?
177;team_name;Movistar Honda MotoGP;?
2717;rider_name;Smith Bradley;Smith Bradley
3203;rider;2499;2499
2316;team_name;Marc VDS Racing Team;?
3206;shortname;GER;?
4350;year;2021;?
3118;shortname;AME;?
79;country;JP;ES
2904;bike_name;Kalex;?
3908;team_name;MB Conveyors Speed Up;?
1702;points;20;?
125;year;2005;?
1372;number;44.0;44.0
2438;category;Moto2;Moto2
3141;year;2017;?
1263;number;12.0;?
2863;rider;2499;2499
4372;country;ES;ES
3127;number;42.0;?
2176;circuit_name;Misano;?
1692;rider_name;Zarco Johann;?
2635;year;2015;?
1127;bike_name;Aprilia;Tech 3
3534;year;2018;?
1978;circuit_name;Sepang;?
3783;position;3;2
1640;bike_name;Yamaha;?
3444;shortname;CAT;?
2611;rider_name;Lorenzo Jorge;Lorenzo Jorge
2120;country;SM;ES
1073;team_name;Pepe World Team;?
3174;position;4;3
419;country;ES;ES
4396;country;IT;IT
2195;bike_name;Honda;?
3365;circuit_name;Rio Hondo;?
4434;bike_name;Honda;?
1148;category;MotoGP;MotoGP
4195;position;5;3
2954;category;Moto3;Moto3
724;bike_name;Honda;?
1047;bike_name;Aprilia;Aprilia
3317;bike_name;Ducati;Ducati
