Ireland;Irish Aerospace;?;PW;MD-80;?;1985;Europe;1;1
Switzerland;Flightlease;2000;PW;767-300ER;Dec;1999;Europe;?;?
Indonesia;Lion Air;2015;CF;737-900ER;Feb;2008;?;5;5
USA;?;1978;?;707/720;?;1973;North America;1;1
Pakistan;Pakistan International Airline;1985;?;737-300;Mar;1984;South Asia;?;5
?;LTU;1987;RR;757-200;Jan;?;Europe;2;?
United Arab Emirates;Novus Aviation Capital;?;GE;777-300ER;Nov;2018;?;2;2
Canada;Wardair;1969;PW;707/720;Mar;?;North America;1;?
?;China Airlines;1998;CF;737-800;Feb;?;Southeast Asia;2;2
Spain;L.T.E. International Airways;1992;RR;757-200;Apr;?;?;1;1
Germany;?;1987;?;MD-80;Oct;1985;Europe;?;1
Japan;All Nippon Airways Co. Ltd.;1997;?;767-300;Jan;1995;East Asia;1;1
USA;DHL Aviation Americas;2022;GE;777F;Dec;2020;?;1;1
USA;McDonnell Douglas;?;PW;MD-80;?;1980;?;1;1
Belgium;?;1983;PW;707/720;May;?;Europe;?;?
Turkey;Pegasus Airlines;2011;?;737-800;Feb;2006;Europe;1;1
State of Libya;Buraq Air;2006;?;737-800;Nov;2005;Africa;2;2
Indonesia;?;1978;GE;DC-10;?;?;Southeast Asia;1;1
Costa Rica;Avianca Costa Rica;1980;PW;?;Aug;?;Central America and Mexico;1;1
Germany;?;1981;PW;?;?;1980;Europe;?;4
France;Aeromaritime;1991;PW;767-300ER;Jan;1989;Europe;1;1
China;Hebei Airlines Company LTD;?;?;737-800;Dec;2013;East Asia;1;1
?;British Airways;?;PW;707/720;Jan;1970;Europe;?;2
United Kingdom;Novair International Airways;1989;CF;737-400;?;?;Europe;2;2
Bangladesh;?;2014;?;777-300ER;?;2008;South Asia;2;2
?;Silk Road Leasing;2016;CF;737-800;Aug;2016;East Asia;1;1
Russian Federation;AirBridgeCargo Airlines;?;GE;747-8F;Nov;2015;?;2;2
India;Vistara;?;GE;787-9;?;2018;South Asia;2;2
?;Atlas Air Inc.;2000;?;747-400F;Feb;1999;North America;2;2
USA;Oak Hill;2010;GE;777F;Apr;2007;North America;2;2
United Kingdom;Air Europe;1990;?;737-400;Apr;1988;Europe;1;1
Kazakhstan;Kazakhstan Airlines;2002;GE;767-200ER;Dec;2000;?;1;1
?;?;2000;RR;757-300;Jul;?;Middle East;2;2
?;Lufthansa Cargo;?;?;777F;May;2011;Europe;2;2
?;VIASA;1968;PW;?;Jan;1967;South America;1;?
Taiwan;China Airlines;1977;PW;747-100;?;1976;Southeast Asia;1;?
Germany;Aero Lloyd;1986;?;MD-80;Dec;1984;Europe;1;1
Jamaica;Air Jamaica-See CBL;1969;PW;DC-9;Jan;1969;Caribbean;2;2
?;?;1998;CF;737-700;Feb;1997;Europe;2;2
Netherlands;KLM Royal Dutch Airlines;1980;PW;?;Jan;1979;Europe;?;2
