?;Granite Falls;WA;2018;?;?;?;Clean Alternative Fuel Vehicle Eligible;?;39.0
?;?;?;2018;NISSAN;LEAF;Battery Electric Vehicle (BEV);?;?;45.0
?;Washougal;WA;2023;KIA;SPORTAGE;Plug-in Hybrid Electric Vehicle (PHEV);Clean Alternative Fuel Vehicle Eligible;?;?
?;Redmond;?;2023;TESLA;?;?;?;0;48.0
Kitsap;?;?;?;?;E-TRON GT;Battery Electric Vehicle (BEV);?;?;?
?;?;?;2023;?;?;Battery Electric Vehicle (BEV);?;0;?
?;Seattle;WA;2016;?;?;?;?;?;?
?;Oak Harbor;?;?;?;?;?;Eligibility unknown as battery range has not been researched;?;10.0
King;Seattle;WA;?;?;?;Battery Electric Vehicle (BEV);?;0;?
?;Seattle;?;2023;?;NIRO;?;?;0;?
Kitsap;Port Orchard;WA;2015;NISSAN;LEAF;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;?;26.0
Pierce;Fox Island;WA;2020;TESLA;MODEL S;?;?;?;26.0
?;Aberdeen;WA;?;?;?;Battery Electric Vehicle (BEV);?;?;?
?;?;?;?;TESLA;?;?;?;?;?
King;?;WA;?;FORD;FUSION;?;?;19;43.0
?;Seattle;WA;?;?;BOLT EV;Battery Electric Vehicle (BEV);?;?;?
?;Airway Heights;WA;2020;?;MODEL 3;Battery Electric Vehicle (BEV);?;?;?
King;?;?;?;?;MODEL Y;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;0;41.0
King;Seattle;?;?;CHEVROLET;BOLT EV;Battery Electric Vehicle (BEV);?;238;?
King;Kirkland;WA;2017;?;C-MAX;Plug-in Hybrid Electric Vehicle (PHEV);?;?;?
King;Sammamish;?;2021;?;?;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;0;41.0
Clark;Vancouver;?;?;?;?;?;Eligibility unknown as battery range has not been researched;?;?
?;Buckley;WA;2018;TESLA;?;Battery Electric Vehicle (BEV);?;?;?
Pierce;?;?;?;TESLA;?;Battery Electric Vehicle (BEV);?;?;?
?;Tacoma;?;2017;?;VOLT;?;Clean Alternative Fuel Vehicle Eligible;53;?
King;Mercer Island;WA;2022;TESLA;MODEL Y;?;Eligibility unknown as battery range has not been researched;0;41.0
?;Kennewick;?;?;TESLA;MODEL 3;?;Eligibility unknown as battery range has not been researched;?;?
King;?;?;2020;?;?;?;?;17;34.0
King;Seattle;?;?;?;?;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;16;?
?;?;WA;2023;?;MODEL Y;Battery Electric Vehicle (BEV);?;0;?
?;?;WA;2021;?;MODEL Y;?;?;0;5.0
?;Bothell;?;2013;?;?;?;Clean Alternative Fuel Vehicle Eligible;?;?
?;Everett;WA;2018;?;?;Battery Electric Vehicle (BEV);?;238;38.0
King;Seattle;?;2018;NISSAN;LEAF;?;?;?;36.0
King;?;WA;2022;TESLA;?;?;?;0;11.0
?;Port Angeles;WA;?;?;LEAF;?;?;?;?
?;?;?;2023;?;MODEL 3;?;?;0;?
King;Renton;?;?;NISSAN;?;?;?;?;?
?;?;?;?;NISSAN;?;?;?;?;?
?;?;WA;?;?;?;Battery Electric Vehicle (BEV);?;0;1.0
King;Des Moines;WA;2020;TESLA;?;?;?;?;?
?;Seattle;?;?;TESLA;?;Battery Electric Vehicle (BEV);?;0;?
Whatcom;Bellingham;?;?;TESLA;MODEL S;?;Clean Alternative Fuel Vehicle Eligible;249;?
?;?;?;2022;?;?;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;0;?
King;Snoqualmie;?;?;?;?;?;?;151;?
?;?;WA;2019;?;LEAF;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;?;41.0
?;?;WA;2016;TESLA;MODEL S;?;?;210;?
King;?;WA;2019;TESLA;MODEL X;Battery Electric Vehicle (BEV);?;289;?
?;?;?;?;?;?;?;?;?;37.0
Kitsap;Poulsbo;WA;?;?;WRANGLER;Plug-in Hybrid Electric Vehicle (PHEV);?;?;?
?;Bellevue;?;?;CHEVROLET;?;?;?;?;?
?;?;?;2022;?;MODEL 3;?;Eligibility unknown as battery range has not been researched;0;31.0
Grays Harbor;Ocean Shores;?;?;CHEVROLET;?;Battery Electric Vehicle (BEV);?;238;?
Snohomish;Marysville;WA;?;TESLA;MODEL Y;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;0;?
?;Port Townsend;WA;?;?;LEAF;Battery Electric Vehicle (BEV);?;?;24.0
?;Seattle;?;?;?;MODEL 3;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;0;?
King;?;WA;2023;TESLA;?;?;?;0;?
King;Bellevue;?;?;?;MODEL X;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;?;41.0
?;?;WA;2013;?;?;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;?;1.0
Pierce;?;WA;2016;TESLA;MODEL S;?;?;210;?
Snohomish;?;?;2014;CADILLAC;ELR;?;Clean Alternative Fuel Vehicle Eligible;37;21.0
?;?;WA;?;?;MODEL Y;?;Eligibility unknown as battery range has not been researched;?;1.0
?;Federal Way;WA;2015;?;?;?;?;208;30.0
?;Seattle;WA;2017;NISSAN;?;?;?;107;46.0
?;Everett;?;?;CHEVROLET;BOLT EUV;?;Eligibility unknown as battery range has not been researched;?;?
?;Seattle;WA;?;?;?;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;?;?
?;Kenmore;WA;?;TESLA;MODEL Y;?;Eligibility unknown as battery range has not been researched;0;?
King;?;WA;2016;NISSAN;?;Battery Electric Vehicle (BEV);?;?;?
?;?;WA;?;TESLA;?;?;Clean Alternative Fuel Vehicle Eligible;?;?
King;Seattle;WA;2022;?;LEAF;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;0;?
?;?;?;2018;?;MODEL 3;?;Clean Alternative Fuel Vehicle Eligible;215;?
Clark;?;WA;2022;?;?;?;?;0;18.0
Spokane;?;?;?;TESLA;MODEL Y;?;?;?;?
King;?;WA;2019;NISSAN;?;Battery Electric Vehicle (BEV);?;?;?
Pierce;Fox Island;?;2017;TESLA;?;?;?;?;26.0
?;?;?;?;?;?;?;Clean Alternative Fuel Vehicle Eligible;?;?
King;?;?;?;TESLA;?;?;?;?;?
?;?;?;2018;TESLA;MODEL 3;?;Clean Alternative Fuel Vehicle Eligible;?;?
