?;Air India;1961;RR;707/720;Jan;1960;?;1;?
?;Novus Aviation Capital;?;?;?;Nov;2018;?;?;2
?;Jet America Airlines;1986;PW;MD-80;Aug;?;?;2;2
?;?;1998;CF;?;?;?;Africa;?;1
?;Italian Air Force Tanker;2005;GE;?;Apr;?;Europe;1;1
Indonesia;Garuda Indonesia;1974;PW;?;Jan;?;Southeast Asia;3;3
USA;Bonanza Airlines;?;PW;DC-9;?;?;?;1;1
?;?;1978;PW;?;?;1978;North America;?;?
?;S7 Group;2011;?;?;?;?;Europe;?;?
?;Nordair;1969;PW;737-200;Jan;?;?;?;1
?;?;?;GE;?;Aug;2007;?;4;?
Mozambique;?;?;PW;?;Mar;?;Africa;?;1
?;?;?;GE;?;Dec;?;?;?;?
?;Mauritania Airlines;2016;?;737-800;Jul;2016;Africa;?;?
Finland;?;?;GE;DC-10;?;1971;?;?;?
?;?;?;?;?;?;?;?;?;?
Canada;?;1988;GE;767-300ER;?;?;North America;?;?
?;Air Canada;?;PW;747-400M;?;1989;North America;?;?
?;Philippine Airlines;1996;GE;747-400M;?;1996;Southeast Asia;?;?
Belgium;?;?;CF;737-400;Jun;1988;Europe;?;?
?;Etihad Airways;?;GE;777-300ER;Mar;?;?;?;2
?;Playboy;?;?;?;?;1967;North America;?;?
Panama;Copa Airlines;2002;?;?;Jan;1999;?;4;?
USA;America West Airlines;?;?;?;Jan;1986;?;?;5
Belgium;?;?;?;MD-11;?;1998;?;1;?
?;AirTran Airways (Merged with S;2007;?;737-700;Jan;2006;?;?;?
?;?;?;CF;737-500;Sep;?;South America;1;1
Nigeria;?;?;?;?;?;?;?;1;1
Sweden;Linjeflyg;1990;?;?;Aug;1988;?;1;1
USA;?;?;?;?;Jan;?;?;1;1
?;?;?;PW;707/720;?;1973;?;?;?
Japan;?;?;?;?;?;?;East Asia;8;8
USA;?;?;PW;?;Jan;1980;North America;2;?
Kenya;Kenya Airways;2002;?;?;?;?;Africa;?;?
?;Nok Air;2015;CF;?;May;?;?;?;2
?;?;?;PW;?;?;?;North America;1;?
?;Lufthansa;?;PW;707/720;?;?;?;2;?
?;Paramount Airways - (Inactive);?;?;?;?;1987;?;2;2
?;?;1977;GE;?;?;?;?;?;1
Bermuda;Novel Leasing;1997;CF;?;Dec;?;?;1;?
USA;?;1980;?;?;Mar;1980;North America;?;1
?;TAP Portugal;?;PW;?;?;1981;Europe;?;?
?;Korean Air Force Peace Eye;?;CF;?;?;2006;?;1;1
?;UPS;?;?;?;Jan;?;North America;?;5
?;?;2015;?;?;Feb;?;Central Asia;?;1
Bahrain;?;2019;?;?;Jan;?;Middle East;?;?
?;Vietnam Airlines;2004;?;777-200ER;Jan;?;Southeast Asia;?;2
Canada;?;1968;PW;737-200;?;?;North America;5;?
?;?;1980;?;737-200;May;1980;?;1;?
USA;M&T Aviation USA Inc;1999;?;?;?;1996;North America;?;?
?;Hebei Airlines Company LTD;?;CF;737-800;?;?;?;1;1
?;?;?;?;?;May;2000;?;?;4
?;LTU;1986;?;757-200;?;1986;Europe;1;?
?;Polaris Aircraft Leasing;?;PW;?;?;?;North America;?;2
?;?;2020;GE;787-9;Oct;?;South Asia;2;2
?;?;1968;?;?;Feb;1966;?;1;?
?;?;?;CF;737-800;?;2008;?;?;?
?;Air Jamaica-See CBL;?;?;?;?;1973;Caribbean;1;?
Japan;Atlantis Aviation Corporation;2021;?;787-9;Sep;?;?;?;2
USA;Northwest-Merged w Delta;?;PW;757-200;Jan;2001;?;?;2
?;Cathay Pacific Airways;?;RR;747-200;?;?;East Asia;1;1
?;Oak Hill;2012;GE;?;?;2007;North America;?;?
Slovenia;Adria Airways d.d.;?;PW;DC-9;Mar;?;?;1;1
Israel;MG Aviation Limited;2016;RR;787-9;Jul;2014;Middle East;2;2
?;U-Land Airlines;?;?;?;?;1995;Europe;?;?
Sweden;?;1968;PW;DC-9;?;1966;?;?;10
USA;Aviation Capital Group;2012;?;?;?;2008;?;?;?
?;Nepal Airlines Corporation;1987;RR;757-200;Feb;?;South Asia;1;1
?;?;1996;?;737-300;?;1996;?;?;1
?;?;1981;PW;737-200;?;?;North America;?;2
Portugal;Republic of Portugal;1971;PW;707/720;?;?;Europe;?;2
Brazil;Cruzeiro;?;?;737-200;?;?;?;?;?
?;East African Airways;?;?;?;?;?;Africa;2;?
?;NASA;?;PW;?;Mar;1973;North America;1;?
USA;BDS USAF Tanker Program;2018;?;767-2C;Jan;2017;?;?;7
?;?;?;?;737-200;Apr;?;Africa;1;1
China;Hainan Airlines Holding;2009;CF;?;Jan;2006;East Asia;1;?
?;?;2013;GE;?;?;?;?;?;?
?;?;?;PW;?;?;1965;North America;?;?
Spain;?;?;?;737-800;Feb;?;Europe;2;?
?;?;?;PW;727;?;1983;Middle East;1;?
