?;13000;first;?;?;?;?;Royal-Enfield;?
?;?;first;?;?;?;38200;Bajaj;Pulsar
2017;?;first;?;42.0;?;?;Yamaha;?
2016;35000;?;delhi;?;?;?;Bajaj;Pulsar
2013;38150;first;hyderabad;40.0;?;?;Royal-Enfield;Bullet
2020;?;second;?;62.0;11.64;58700;Bajaj;?
?;16000;first;delhi;45.0;?;?;?;Pulsar
2006;20000;?;?;?;?;?;?;Passion
?;?;second;delhi;30.0;19.8;52000;Royal-Enfield;Bullet
2011;67304;?;?;42.0;?;?;Yamaha;YZF-R15
2016;?;second;jaipur;?;42.9;94275;KTM;Duke
2018;9876;?;delhi;35.0;?;120000;?;?
?;7896;?;delhi;38.0;21.0;?;?;?
2017;65000;?;mumbai;?;21.0;55600;Bajaj;?
2015;49000;?;?;?;?;48600;Bajaj;?
2014;40679;first;?;35.0;19.8;98000;Royal-Enfield;?
2010;46000;?;?;65.0;15.0;19000;Bajaj;?
?;2632;first;?;?;14.6;90000;?;?
2019;?;?;delhi;?;19.8;155000;Royal-Enfield;?
2015;29704;?;?;55.0;?;35000;?;Ignitor
2018;20517;?;?;52.0;12.9;?;Yamaha;?
2018;16525;first;delhi;?;14.0;64000;?;Gixxer
?;91000;second;mumbai;?;11.64;?;Bajaj;Pulsar
2016;?;?;delhi;?;42.9;?;KTM;?
?;15000;first;?;55.0;9.0;?;Hero;?
2013;25000;?;delhi;65.0;15.0;30000;Bajaj;?
2015;39985;first;?;85.0;8.2;25500;TVS;Star
2017;12000;first;?;?;25.1;?;?;RC
2015;?;first;?;?;19.8;175000;Royal-Enfield;Classic
?;23000;first;?;65.0;10.9;48700;Bajaj;Discover
?;15222;first;delhi;?;?;36000;Hero;?
2018;16586;?;jaipur;35.0;24.6;130000;KTM;Duke
?;20000;?;delhi;?;8.9;18600;Hero;?
2018;38000;first;ranchi;40.0;?;?;?;?
2016;?;?;gurgaon;63.0;14.0;45000;?;Gixxer
2016;24000;?;?;?;?;150000;Royal-Enfield;?
2013;?;?;delhi;38.0;?;36400;Bajaj;?
2019;?;first;?;?;19.8;60000;Royal-Enfield;Classic
?;11250;first;?;35.0;19.8;?;Royal-Enfield;Classic
?;?;?;pune;40.0;19.8;90000;Royal-Enfield;?
2014;30000;second;?;35.0;25.0;75000;KTM;Duke
?;?;first;chandigarh;25.0;?;124375;?;Classic
2017;?;?;bangalore;32.0;27.2;175000;?;Classic
2018;?;first;?;38.0;?;?;Bajaj;?
2014;?;first;mumbai;35.0;?;95000;?;Classic
?;?;first;gurgaon;60.0;14.0;?;Honda;CB
2008;10000;first;mumbai;38.0;21.0;?;Bajaj;Pulsar
2011;43000;first;delhi;45.0;17.0;?;?;Pulsar
?;37208;second;pune;38.0;18.28;49000;?;?
2006;?;second;?;30.0;19.8;58700;Royal-Enfield;Bullet
2016;22000;?;delhi;57.0;?;?;?;V15
2017;15000;first;?;40.0;?;118000;?;Bullet
2014;?;?;kolkata;?;19.8;99000;Royal-Enfield;?
?;?;?;hyderabad;?;24.6;100000;?;Duke
?;20000;first;?;38.0;21.0;35800;?;Pulsar
2019;?;?;chennai;52.0;12.9;?;?;?
2016;19000;first;delhi;?;24.6;?;KTM;Duke
?;94000;third;delhi;38.5;?;?;Bajaj;?
2014;?;?;?;?;19.0;110000;Royal-Enfield;Electra
?;?;second;?;?;20.0;39000;Hero;Karizma
?;12000;?;?;?;?;75000;?;?
2016;11000;?;delhi;35.0;?;?;Royal-Enfield;Classic
