?;Nippon Cargo Airlines;2005;?;?;?;2004;East Asia;?;2
?;Cyprus Turkish Airlines (KTHY);1997;?;MD-90;Jun;?;Europe;2;?
?;Martinair Cargo;1973;?;DC-10;Feb;?;Europe;?;?
?;Avianca;?;PW;727;Jan;?;South America;2;2
France;Euralair;?;?;737-500;May;?;?;?;1
?;Yemenia;?;PW;727;Sep;1979;Middle East;?;1
?;Nippon Cargo Airlines;?;GE;747-400F;Jan;?;?;?;?
USA;Trans Carib Air;1968;GE;DC-8;Mar;1966;?;?;?
USA;?;?;?;DC-10;?;1972;?;?;?
Oman;?;?;?;737 MAX;?;?;Middle East;?;?
Angola;?;?;?;?;?;?;Africa;1;?
Cyprus;?;2017;CF;?;Jul;?;?;1;1
Tanzania United Republic of;Air Tanzania;1979;PW;?;Mar;1978;?;1;1
?;?;1980;PW;727;Sep;?;?;1;1
?;?;1999;?;747-400;Nov;?;?;1;?
?;Air China Southwest Branch;1994;CF;737-300;?;1993;?;2;?
?;Linjeflyg;1991;?;737-500;?;?;Europe;?;?
USA;Boeing Capital Corporation;2019;GE;777F;Aug;2018;North America;1;?
?;easyJet;2002;CF;?;?;?;Europe;4;4
?;Australian Wedgetail;2003;CF;?;?;2001;?;?;1
?;Royal Moroccan Air Force;1982;PW;?;?;1982;?;1;1
?;?;1994;?;757-200;Jan;1993;Europe;?;?
?;Trans-Australia Airlines;1964;?;?;Feb;1963;?;2;?
Reunion;Air Austral;2011;?;?;May;?;?;?;?
?;?;?;?;DC-9;Mar;1973;?;1;1
USA;?;1999;?;?;Dec;1999;?;1;?
?;?;1967;?;707/720;Nov;1966;North America;2;?
?;Sky Airlines;2009;?;737-900ER;May;2006;Europe;2;?
?;Dream Aviation Ltd.;1999;?;777-200ER;?;1998;Middle East;1;1
?;?;2019;?;?;?;?;North America;?;1
?;?;1974;?;?;?;1974;?;?;1
?;Lauda Air;2001;?;?;Jan;1999;?;2;?
Cameroon;?;1985;?;?;Jan;1985;?;1;?
USA;?;1966;PW;DC-8;Nov;?;?;1;?
?;?;1987;?;?;?;?;?;?;1
?;?;?;?;?;?;?;?;?;?
?;?;?;?;?;Feb;?;?;?;1
?;?;?;CF;737-800;Mar;?;?;?;2
?;DHL;?;?;?;Jun;?;North America;?;4
?;Italian Air Force Tanker;?;GE;?;?;2002;?;?;1
?;Air Madagascar;?;?;737-200;?;1972;?;?;1
?;Midland Montagu Leasing;?;?;737-200;?;1981;?;1;1
?;Asiana Airlines;?;?;?;Jan;?;?;?;1
?;Ceiba Intercontinental;?;?;?;Aug;?;?;3;3
?;?;?;CF;?;Aug;2003;?;?;1
?;?;2003;CF;?;Mar;2000;?;?;?
?;?;1989;?;?;Jan;1989;?;?;?
?;?;1993;?;?;Aug;1992;?;1;?
?;Australian Airlines Limited;1992;CF;?;Mar;?;Oceania;2;2
?;?;1981;PW;?;Jan;?;North America;?;?
Thailand;?;?;GE;?;Mar;?;Southeast Asia;?;?
Ireland;?;?;CF;?;?;?;Europe;?;?
Russian Federation;?;?;CF;737-800;?;?;?;1;?
China;Donghai Airlines;?;CF;737-800;Dec;?;?;4;?
Russian Federation;?;2016;GE;747-8F;?;2016;Europe;?;?
?;?;1981;PW;737-200;?;?;?;?;?
