USA;?;1981;PW;MD-80;Jan;?;North America;1;1
Germany;?;1969;PW;707/720;Jan;1968;Europe;2;2
United Kingdom;Paramount Airways - (Inactive);1988;PW;MD-80;Dec;1987;Europe;2;2
Nigeria;Nigeria Airways;1977;GE;DC-10;?;?;Africa;1;?
Bermuda;Novel Leasing;1997;CF;737-300;Dec;1997;Caribbean;?;1
USA;PACE Airlines;1980;PW;737-200;?;1980;?;1;?
?;TAP Portugal;1981;PW;727;Jan;1981;Europe;1;1
USA;Korean Air Force Peace Eye;?;CF;?;Dec;2006;?;?;1
?;UPS;1995;GE;767-300F;Jan;1993;North America;5;5
Azerbaijan;Silk Way Airlines;2015;GE;?;Feb;2015;?;1;?
Bahrain;?;2019;RR;787-9;?;?;Middle East;?;?
Vietnam;Vietnam Airlines;2004;PW;?;?;2002;Southeast Asia;2;?
?;CP Air;1968;PW;737-200;?;1967;North America;?;5
Chile;LADECO;?;?;?;May;?;South America;1;?
USA;M&T Aviation USA Inc;1999;CF;737-700;Dec;1996;North America;3;3
?;?;2015;CF;737-800;Dec;?;?;1;?
?;GATX Jet Partners Ltd.;2000;CF;737-800;May;2000;?;4;4
Germany;?;1986;RR;757-200;?;1986;?;1;1
USA;Polaris Aircraft Leasing;?;PW;?;?;1989;North America;?;?
?;Vistara;2020;GE;?;?;2018;South Asia;2;2
Philippines;Philippine Airlines;1968;?;?;Feb;1966;Southeast Asia;?;1
United Arab Emirates;flydubai;2009;CF;737-800;Jul;2008;?;6;6
Jamaica;Air Jamaica-See CBL;?;?;DC-9;Jun;1973;Caribbean;1;1
Japan;Atlantis Aviation Corporation;2021;GE;787-9;Sep;2018;?;?;2
USA;Northwest-Merged w Delta;2002;PW;?;?;2001;?;2;?
China;?;1990;?;747-200;Feb;1990;East Asia;1;?
USA;Oak Hill;2012;GE;777F;Apr;?;North America;2;?
?;?;1970;?;DC-9;?;1969;Europe;?;1
?;?;2016;?;787-9;Jul;2014;?;2;2
?;U-Land Airlines;1995;PW;MD-80;Sep;1995;Europe;?;2
Sweden;Scandinavian Airlines;1968;?;DC-9;Jan;?;?;?;?
?;Aviation Capital Group;2012;?;737-800;Jan;2008;?;?;?
Nepal;?;?;RR;?;?;1986;South Asia;1;1
Ireland;DAE Aerospace Enterprise;1996;CF;?;Jan;1996;Europe;1;1
USA;Alaska Airlines;1981;PW;737-200;Jan;1981;?;?;2
Portugal;?;1971;PW;?;?;1971;Europe;?;?
Brazil;?;1975;PW;?;May;1974;South America;?;?
?;East African Airways;1971;PW;DC-9;?;1970;?;2;2
USA;NASA;1973;?;?;?;1973;?;1;1
USA;?;?;?;?;Jan;?;North America;?;?
?;Air Gabon;?;PW;?;Apr;1977;Africa;?;1
China;Hainan Airlines Holding;2009;CF;?;Jan;2006;?;1;1
?;Air China Cargo;?;?;777F;?;2013;East Asia;?;?
USA;Delta Air Lines;1966;?;DC-8;?;?;North America;?;1
Spain;Air Europa;2005;CF;737-800;?;2004;Europe;?;2
?;Rafic B. Hariri;?;?;727;Jan;1983;Middle East;1;?
Zimbabwe;Air Zimbabwe;1990;?;767-200ER;?;?;Africa;1;1
USA;?;?;?;MD-80;Jan;1982;North America;2;2
USA;?;1998;?;?;Dec;1996;?;?;3
?;?;?;GE;?;?;?;South America;?;3
USA;Pan Am World Airways;1971;?;747-100;Jan;1969;?;6;6
Equatorial Guinea;Ceiba Intercontinental;2011;?;?;Mar;2009;Africa;1;1
Portugal;?;?;PW;DC-8;Apr;1969;Europe;1;1
?;?;?;CF;737-700;Jun;1999;Europe;?;2
?;Jetstar - Duplicated (See JSA);2001;RR;?;Feb;2001;?;?;1
El Salvador;Avianca El Salvador;1986;GE;767-200;?;1986;Central America and Mexico;?;?
Gibraltar;GB Airways;?;CF;737-300;?;?;Europe;2;?
Saudi Arabia;Saudi Arabian Airlines;1967;PW;DC-9;Feb;1965;?;3;3
Russian Federation;Sberbank Leasing;2018;CF;737-800;?;?;Europe;4;4
?;Qantas Airways;?;RR;747-200;Jan;1980;Oceania;2;2
Belgium;City Bird;1998;GE;MD-11;May;?;?;?;1
Czech Republic;Smartwings a.s.;2018;CF;737 MAX;Aug;2013;Europe;1;1
China;China Southern Airlines;2002;PW;?;Feb;?;East Asia;2;2
Japan;Air Nippon;?;?;?;May;1999;East Asia;?;1
USA;Handlingair Establishment;1975;PW;?;Feb;1974;North America;1;1
?;Dominicana Airlines;1975;PW;?;?;?;Caribbean;1;1
?;?;2000;PW;?;Dec;1999;Europe;4;4
Germany;?;?;?;?;Jan;?;Europe;1;1
USA;Miami Air;2006;CF;?;Dec;2004;North America;1;1
China;Ruili Airlines;?;CF;?;Dec;?;East Asia;1;1
Ireland;?;2013;CF;737-800;Oct;2010;?;3;3
