Nicholas Julian Nick Bell;M;?;186.0;72.0;?;GBR;?;?;Summer;Montreal;Fencing
Martin Doktor;M;22.0;178.0;78.0;Czech Republic;CZE;1996 Summer;1996;Summer;Atlanta;Canoeing
?;F;26.0;?;56.0;Brazil;BRA;2016 Summer;2016;Summer;?;?
Lilian de Geus;F;?;164.0;?;Netherlands;NED;2016 Summer;2016;Summer;Rio de Janeiro;?
Paula Gonalves Carvalho;F;19.0;165.0;62.0;Brazil;?;1984 Summer;1984;Summer;Los Angeles;Synchronized Swimming
Stefania Belmondo;F;33.0;158.0;?;Italy;ITA;2002 Winter;2002;Winter;Salt Lake City;Cross Country Skiing
?;F;30.0;?;72.0;Netherlands;NED;1988 Summer;1988;Summer;Seoul;Equestrianism
Anna Viktoria Dahlberg-Olsson;F;?;165.0;60.0;Sweden;SWE;2002 Winter;2002;?;Salt Lake City;Cross Country Skiing
?;M;28.0;178.0;81.0;Morocco;MAR;2012 Summer;2012;Summer;London;Judo
Timothy Tim Conrad;M;25.0;?;?;Australia;AUS;1976 Summer;1976;?;Montreal;Rowing
Ferdinand Reinhardt Bie;?;24.0;174.0;72.0;?;NOR;1912 Summer;1912;Summer;Stockholm;Athletics
?;F;19.0;?;77.0;Canada;CAN;?;1968;?;?;Athletics
Olga Aleksandrovna Brusnikina;F;21.0;169.0;55.0;Russia;RUS;2000 Summer;2000;Summer;Sydney;Synchronized Swimming
Martin Brerton;?;19.0;178.0;64.0;Ireland;IRL;1980 Summer;1980;Summer;Moskva;Boxing
Cristina Doboan (-Ionia);F;21.0;?;53.0;Romania;ROU;1964 Summer;1964;Summer;Tokyo;Gymnastics
Yuko Arimori (-Wilson);F;29.0;166.0;47.0;Japan;JPN;1996 Summer;1996;Summer;Atlanta;Athletics
Michelle Claire Edwards;F;30.0;155.0;58.0;South Africa;RSA;2004 Summer;2004;Summer;Athina;Badminton
Enrico Rico Bianchi;M;?;?;82.0;Switzerland;SUI;1952 Summer;1952;Summer;Helsinki;Rowing
Jean-Christophe Bette;M;?;186.0;72.0;?;FRA;2000 Summer;2000;Summer;Sydney;Rowing
Roberto Jos Elas Orozco;M;23.0;?;76.0;Mexico;MEX;2000 Summer;?;Summer;Sydney;Shooting
Shaun Coulton;M;24.0;191.0;94.0;Australia;AUS;2004 Summer;2004;Summer;Athina;Rowing
Gabriele Gaby Bhlmann;F;?;162.0;?;Switzerland;SUI;1996 Summer;1996;Summer;Atlanta;Shooting
Nelson Rocha dos Santos;M;28.0;168.0;51.0;Brazil;BRA;1980 Summer;1980;Summer;Moskva;Athletics
Ernst Chervet;M;19.0;165.0;?;Switzerland;SUI;1960 Summer;?;Summer;Roma;Boxing
Stephen Angers;M;23.0;178.0;77.0;Canada;CAN;1988 Summer;1988;Summer;Seoul;Fencing
Marua Ferk;F;25.0;?;63.0;Slovenia;SLO;?;2014;Winter;Sochi;Alpine Skiing
Peter W. Carruthers;M;24.0;180.0;70.0;United States-1;USA;1984 Winter;?;Winter;?;Figure Skating
douard Didier;M;20.0;176.0;63.0;Luxembourg;LUX;1960 Summer;1960;Summer;Roma;Fencing
?;M;20.0;160.0;70.0;Canada;CAN;2008 Summer;2008;Summer;Beijing;Swimming
Wiesaw Bocheski;M;?;192.0;99.0;Poland;POL;1968 Summer;1968;Summer;Mexico City;?
Gian Nicola Berti;M;28.0;172.0;74.0;San Marino;SMR;?;1988;Summer;Seoul;Shooting
Barbara A. Brown;F;19.0;180.0;62.0;United States;USA;1960 Summer;1960;Summer;Roma;Athletics
Valentina Ciurina;F;23.0;174.0;68.0;Moldova;MDA;2002 Winter;2002;Winter;Salt Lake City;Biathlon
ngel Fernndez Garca;?;27.0;174.0;78.0;Spain;ESP;1988 Summer;1988;Summer;Seoul;Fencing
Peter Bucher;M;25.0;178.0;75.0;West Germany;?;1972 Summer;1972;Summer;Munich;Handball
Franka Dietzsch;F;32.0;183.0;?;Germany;GER;2000 Summer;2000;Summer;Sydney;?
Aoife Clark (Sisk-);F;30.0;173.0;65.0;Ireland;IRL;?;2012;Summer;London;Equestrianism
Gran Patrik Crafoord;M;?;176.0;68.0;Galejan;?;1960 Summer;1960;Summer;Roma;Sailing
?;M;22.0;175.0;73.0;United States;USA;1968 Winter;1968;Winter;Grenoble;Ice Hockey
Yuliya Vladimirovna Balykina;F;?;165.0;60.0;Belarus;BLR;2012 Summer;2012;Summer;London;Athletics
Lahcen Babaci;M;23.0;175.0;62.0;Algeria;ALG;1980 Summer;1980;?;Moskva;Athletics
Alberto Busnari;M;33.0;?;70.0;Italy;ITA;2012 Summer;2012;Summer;London;Gymnastics
Santiago de la Rocha Mille;M;36.0;175.0;65.0;Spain;ESP;1988 Summer;1988;Summer;Seoul;Equestrianism
Mohamed Ezzher;M;36.0;176.0;58.0;France;FRA;1996 Summer;1996;Summer;Atlanta;Athletics
Lance Edward Armstrong (Gunderson-);M;24.0;178.0;75.0;United States;USA;1996 Summer;1996;Summer;Atlanta;Cycling
Bai Hui-Yun;F;23.0;157.0;48.0;Chinese Taipei-1;TPE;1996 Summer;1996;Summer;Atlanta;Table Tennis
Maria Helene Brandin;F;32.0;186.0;85.0;Sweden;SWE;1996 Summer;1996;Summer;Atlanta;Rowing
Liliana Allen Doll (-de Martnez);F;34.0;170.0;62.0;Mexico;MEX;2004 Summer;2004;Summer;Athina;Athletics
Miguel Arroyo Prez;M;18.0;165.0;54.0;Cuba;CUB;1980 Summer;1980;Summer;Moskva;Gymnastics
Zahi El-Khoury;M;19.0;180.0;77.0;Lebanon;LIB;1988 Summer;1988;?;Seoul;?
Lgia Santos da Silva;F;31.0;161.0;58.0;?;?;2012 Summer;2012;Summer;London;Table Tennis
Vivian Jepkemoi Cheruiyot;F;17.0;153.0;40.0;Kenya;KEN;2000 Summer;2000;Summer;Sydney;Athletics
Klaus Johannes Ehl;M;?;188.0;77.0;West Germany;FRG;1972 Summer;1972;Summer;Munich;?
Chun Hon Chan;M;37.0;159.0;52.0;Canada;CAN;?;1972;Summer;Munich;Weightlifting
Zulema Bregado Gutierrez;F;?;153.0;?;?;CUB;1968 Summer;1968;Summer;?;Gymnastics
Beatrix Boulsevicz;F;17.0;169.0;63.0;Hungary;HUN;2004 Summer;2004;?;Athina;Swimming
Bernard Patrick Pat Costello Jr.;M;27.0;188.0;84.0;United States;USA;1956 Summer;?;Summer;Melbourne;Rowing
Sergey Vladimirovich Chepikov;M;?;182.0;75.0;?;RUS;2006 Winter;2006;Winter;Torino;Biathlon
Mikoaj Piotr Burda;M;26.0;192.0;98.0;Poland;POL;?;2008;Summer;Beijing;Rowing
Grazia Colombo;F;?;169.0;61.0;Italy;ITA;1984 Summer;1984;Summer;Los Angeles;?
Rgine Cavagnoud;F;23.0;163.0;64.0;France;FRA;1994 Winter;1994;Winter;Lillehammer;Alpine Skiing
Raymond Ray Cadieux;M;26.0;178.0;77.0;?;CAN;1968 Winter;1968;Winter;Grenoble;?
Thiago Almeida;?;28.0;181.0;70.0;Brazil;BRA;2008 Summer;2008;Summer;Beijing;Rowing
Timothy Deavin;M;32.0;185.0;77.0;Australia;AUS;2016 Summer;2016;Summer;Rio de Janeiro;?
Benjamin Kudjow Thomas Boukpeti;M;27.0;176.0;73.0;Togo;TOG;2008 Summer;2008;Summer;Beijing;Canoeing
Ernest Dong;M;26.0;175.0;63.0;Cameroon;CMR;1968 Summer;1968;Summer;Mexico City;Boxing
Vasilios Dimitriadis;M;23.0;180.0;89.0;Greece;GRE;2002 Winter;2002;Winter;Salt Lake City;?
Carmel Frances Clark (-Gardner);F;19.0;179.0;63.0;New Zealand;NZL;1984 Summer;1984;Summer;Los Angeles;Swimming
Eom Hyo-Won;M;25.0;?;86.0;South Korea;KOR;2012 Summer;2012;Summer;London;Handball
Barbara Anne Cage (-McCarthy);F;23.0;159.0;50.0;Australia;AUS;1964 Summer;1964;Summer;Tokyo;?
Vasily Danilov;M;15.0;190.0;80.0;Kyrgyzstan;KGZ;2004 Summer;2004;?;Athina;Swimming
Michael Binzer;M;23.0;180.0;73.0;?;DEN;1992 Winter;1992;Winter;Albertville;Cross Country Skiing
