?;nm0000245;?;?;?;8.0;?
Anne Revere;?;?;1941;455;?;tt0033525
Shannyn Sossamon;?;The Order;?;16987;5.2;?
Nicollette Sheridan;nm0001733;?;?;39037;5.6;tt0118708
?;?;The Journey of Natty Gann;?;?;7.1;?
Taye Diggs;?;Days of Wrath;?;?;6.8;?
?;?;?;2011;123334;?;tt1616195
Annie Potts;nm0001633;Ghostbusters II;?;184615;6.6;tt0097428
Dylan Bruce;nm1851313;Unstoppable;2010;186249;6.8;?
?;?;?;1976;?;6.8;?
?;nm0757855;The Book of Life;?;?;7.3;?
Jared Harris;nm0364813;?;?;40584;5.6;tt1369706
?;?;?;2016;?;?;tt3553442
Bruce Willis;nm0000246;Survive the Night;2020;5197;4.1;?
Will Smith;?;Bad Boys;?;242553;?;?
?;?;Vamps;?;?;5.2;tt1545106
?;?;?;?;?;?;?
Kelly Stables;nm1261587;?;2005;91804;?;?
Aditi Rao Hydari;?;Murder 3;2013;?;4.9;?
?;nm0004741;When a Stranger Calls;?;?;?;tt0455857
Maxwell Caulfield;?;Nightmare City 2035;2007;?;?;?
?;nm0001228;?;1981;33495;?;tt0082136
Alec Baldwin;nm0000285;Pearl Harbor;2001;313400;?;tt0213149
Neve Campbell;nm0000117;?;2020;?;?;?
Steven Berkoff;nm0000925;Steal;?;5715;5.5;tt0282552
Alice Krige;nm0000481;?;?;17202;5.8;?
Molly Shannon;nm0788340;?;?;?;6.1;tt0151738
Victor Garber;nm0001255;Self/less;?;91411;?;?
?;nm0001072;Syndicate Sadists;?;?;6.4;?
?;?;?;2009;?;?;tt1093908
Julie Bowen;?;Conception;?;?;5.3;?
Christina Applegate;nm0000775;Wonderland;2003;?;6.6;?
Keanu Reeves;nm0000206;The Watcher;2000;?;?;?
?;nm0001324;Mary Queen of Scots;?;?;?;tt2328900
Robert Mitchum;?;Mr. Winkle Goes to War;?;462;?;?
?;?;Cancel My Reservation;?;?;?;?
Gerard Depardieu;?;?;?;?;?;?
?;?;Emperor of the North;?;?;7.3;tt0070030
?;nm0000890;?;1940;?;6.4;?
Cameron Richardson;nm0724460;Hickok;?;2749;4.7;?
?;?;Dinosaur;2000;54219;?;tt0130623
Heather Burns;nm0122688;?;?;153;5.4;?
?;?;Humboldt County;2008;2395;?;tt0870122
Josh Lucas;nm0524197;?;1996;368;?;tt0117973
?;?;Arctic Dogs;?;1475;4.7;?
?;nm0586565;Ditte & Louise;?;541;6.4;?
Michael Dorn;nm0000373;?;?;1504;?;?
?;?;?;?;41669;4.2;?
?;nm0005068;?;?;?;4.7;?
Josh Keaton;?;Smurfs: The Lost Village;2017;18845;6.0;?
Gavan O'Herlihy;nm0641398;Seven Days of Grace;?;?;4.4;?
?;?;Phantom Punch;2008;726;5.5;?
?;nm0000601;Ghostbusters II;?;?;?;tt0097428
?;nm0000658;?;2016;51520;?;tt4136084
?;?;I'm Gonna Git You Sucka;?;?;?;?
?;nm0474520;?;?;?;3.5;?
Leslie Caron;nm0001989;Gaby;1956;?;6.1;tt0049247
?;nm0639200;?;1992;158383;?;?
Jim Carter;nm0141697;Flash Gordon;1980;?;?;tt0080745
?;?;?;?;?;5.5;?
Michael Pitt;?;Hedwig and the Angry Inch;?;32147;?;tt0248845
Stephen Lang;nm0002332;Fire Down Below;?;?;5.1;tt0119123
Ingeborga Dapkunaite;nm0200848;?;?;?;?;tt1368440
Meredith Baxter;?;?;?;143;?;?
?;nm0000994;P.J.;?;?;?;tt0063402
?;?;Where's Marlowe?;?;?;6.0;?
Kim Darby;nm0200981;?;?;219;6.1;tt0168942
