riga;nome attributo;valore da imputare;valore imputato
263;points;16;?
2074;number;10.0;?
2713;rider_name;Stoner Casey;?
2285;points;20;?
2615;country;BR;ES
537;circuit_name;Mugello;?
918;team_name;Marc VDS Racing Team;?
2499;rider;1888;1888
2769;category;Moto2;?
1215;position;4;5
657;rider;1988;1988
420;points;20;?
186;shortname;CZE;?
1911;rider;2059;?
1974;team_name;Fiat Yamaha Team;?
2882;year;2017;?
906;circuit_name;Misano;?
1180;year;2021;?
802;bike_name;Honda;?
2938;rider_name;Aoyama Hiroshi;?
1096;country;ES;ES
1633;points;13;?
1252;number;14.0;?
1582;rider_name;Rabat Tito;?
2755;category;MotoGP;MotoGP
2679;bike_name;KTM;?
1627;team_name;Ajo Motorsport;?
152;points;11;?
1801;bike_name;Yamaha;Yamaha
1465;points;25;?
954;rider;2567;?
1654;country;IT;IT
1517;number;33.0;?
308;rider_name;Fernandez Raul;Fernandez Raul
2791;rider;2636;2636
166;rider;2398;2398
846;shortname;GBR;?
1081;number;14.0;?
1519;country;ES;ES
2452;country;IT;IT
2154;rider;2065;2065
216;shortname;GER;?
2288;shortname;QAT;?
918;bike_name;Kalex;?
1549;team_name;SKY Racing Team  VR46;?
2630;year;2017;?
558;number;7.0;?
248;rider;2517;2517
577;position;5;5
1449;rider;2157;?
2772;shortname;GBR;?
2784;number;93.0;?
929;position;4;5
212;circuit_name;Assen;?
1752;rider;2658;2658
1318;team_name;Repsol Honda Team;?
2045;rider_name;Canet Aron;Canet Aron
489;position;4;5
2507;year;2009;?
1417;team_name;EG 00 Marc VDS;?
2696;points;13;?
2008;rider_name;Aegerter Dominique;Aegerter Dominique
1193;country;IT;IT
1463;number;4.0;?
1378;year;2010;?
346;rider_name;Iannone Andrea;Iannone Andrea
824;shortname;VAL;?
665;bike_name;Yamaha;?
924;circuit_name;Catalunya;?
1035;year;2011;2009
1404;rider;2015;2015
1308;bike_name;KTM;?
2574;category;125cc;125cc
361;team_name;Estrella Galicia 00;?
275;number;46.0;?
925;shortname;JPN;?
877;bike_name;Aprilia;Aprilia
1321;rider_name;Pesek Lukas;Pesek Lukas
2017;year;2007;2009
2301;year;2016;?
165;category;Moto2;?
2460;rider;2224;2224
2336;rider;2055;?
2990;position;1;2
2940;country;CH;CH
2835;points;11;?
2187;points;16;?
2921;year;2014;?
2997;circuit_name;Catalunya;?
192;rider;2567;?
2210;team_name;Estrella Galicia 00 Marc VDS;?
192;bike_name;KTM;?
2168;points;16;?
2164;category;MotoGP;MotoGP
1238;country;GB;GB
752;team_name;SKY Racing Team VR46;?
224;rider;2471;2471
2359;country;US;US
2625;position;3;2
384;country;ES;ES
694;circuit_name;Mugello;?
2302;position;2;2
2954;shortname;CHN;?
1950;rider_name;Marquez Marc;?
2625;team_name;Marc VDS Racing Team;?
2060;rider_name;Kent Danny;Kent Danny
782;shortname;FRA;?
2552;position;5;5
1410;year;2015;?
1652;circuit_name;Sachsenring;Donington Park
423;rider;1891;1891
1437;shortname;CZE;?
781;category;MotoGP;MotoGP
1537;year;2021;?
1316;team_name;Red Bull KTM Ajo;?
2170;shortname;VAL;?
195;circuit_name;Le Mans;?
2676;year;2014;?
1409;country;IT;IT
1111;year;2011;?
166;circuit_name;Le Mans;?
1244;rider;2037;?
918;rider;2288;2288
991;rider;2093;2093
754;shortname;VAL;?
621;rider_name;Sofuoglu Kenan;Sofuoglu Kenan
2496;points;13;?
819;country;AU;AU
573;category;250cc;125cc
747;circuit_name;Misano;?
2202;country;IT;IT
2189;shortname;RSM;?
573;year;2007;?
2495;position;3;1
859;category;MotoGP;MotoGP
2317;rider_name;Bradl Stefan;Bradl Stefan
2728;category;MotoGP;MotoGP
2088;rider_name;Olive Joan;?
723;number;46.0;?
1522;position;5;5
2989;rider;2058;?
2799;year;2014;2015
992;bike_name;Aprilia;Aprilia
1005;country;ES;ES
2142;position;4;?
2068;rider;2058;?
2924;number;41.0;?
1026;team_name;Italtrans Racing Team;?
1509;rider_name;Luthi Thomas;Luthi Thomas
1502;bike_name;KTM;?
1685;team_name;Lotus Aprilia;?
433;rider_name;Bastianini Enea;?
2304;year;2021;?
2952;number;9.0;?
230;year;2013;?
1716;bike_name;Suzuki;Suzuki
435;position;4;5
2364;category;Moto2;Moto2
1566;year;2021;?
2201;rider;2055;2055
2020;category;Moto2;Moto3
2873;position;5;5
2756;country;ES;ES
1775;position;5;5
366;country;IT;IT
1358;year;2019;?
2913;points;11;?
823;points;11;?
1941;bike_name;Aprilia;Aprilia
64;bike_name;Suter;Suter
2450;position;5;5
1830;country;ES;ES
1616;country;IT;IT
1176;country;JP;ES
585;number;17.0;?
1024;circuit_name;Brno;?
1538;points;20;?
2834;team_name;Avant-AirAsia-Ajo;?
814;circuit_name;Phillip Island;?
1006;number;40.0;?
1092;rider_name;Simon Julian;Simon Julian
1251;rider;2059;2059
2111;points;25;?
1686;number;34.0;?
2699;category;MotoGP;MotoGP
2675;number;33.0;?
130;points;11;?
1898;circuit_name;Misano;?
1698;team_name;Red Bull KTM Ajo;?
2744;circuit_name;Le Mans;?
402;points;25;?
443;country;FR;FR
1521;bike_name;GASGAS;?
2536;category;MotoGP;MotoGP
2411;category;Moto2;?
2189;country;FR;FR
1668;rider_name;Luthi Thomas;Luthi Thomas
979;year;2020;?
2641;bike_name;KTM;Honda
2275;points;11;?
871;category;Moto2;?
623;bike_name;Honda;Honda
1250;team_name;Telefonica Movistar Honda 250cc;?
127;category;Moto2;Moto2
1415;team_name;Yamaha Factory Racing;?
731;rider_name;Lorenzo Jorge;Lorenzo Jorge
2213;rider;2108;2108
535;country;ES;ES
2486;position;3;2
565;number;19.0;?
207;circuit_name;Assen;?
199;position;2;?
2479;points;13;?
2571;year;2006;?
2849;number;11.0;?
2221;circuit_name;Sachsenring;?
2269;team_name;EG 00 Marc VDS;?
332;country;ES;ES
165;country;DE;DE
1470;year;2005;?
2156;rider;2428;2428
1407;rider_name;Takahashi Yuki;?
193;bike_name;Honda;Honda
1230;rider;1762;1762
1149;category;250cc;250cc
1739;shortname;FRA;?
2413;bike_name;Honda;?
16;country;ES;ES
1883;number;13.0;?
696;points;13;?
631;rider;2541;?
282;circuit_name;Ricardo Tormo;?
233;points;20;?
2868;year;2012;?
1378;position;2;5
1722;number;44.0;?
1998;circuit_name;Le Mans;?
2422;number;40.0;?
184;rider_name;Iannone Andrea;Iannone Andrea
1772;circuit_name;Motegi;?
2566;position;2;2
997;points;25;?
1306;points;13;?
2508;country;ES;ES
278;category;Moto3;Moto3
2534;rider;2157;?
1368;category;Moto2;Moto2
480;year;2021;?
1363;country;GB;GB
1454;points;16;?
1377;shortname;RSM;?
2690;rider_name;Lorenzo Jorge;Lorenzo Jorge
2405;year;2015;2010
652;points;11;?
176;circuit_name;Sachsenring;?
2177;country;ES;ES
2171;year;2008;?
336;number;87.0;?
1922;rider;2156;2156
2970;number;45.0;?
2884;bike_name;Aprilia;Aprilia
252;country;IT;IT
1600;circuit_name;Sachsenring;?
2698;year;2014;?
1480;bike_name;Yamaha;Yamaha
2137;country;IT;IT
