2016;?;?;Motegi;2587;?;Gresini Racing Moto3;Honda;5;11;4.0;IT
?;250cc;FRA;?;2032;Stoner Casey;Carrera Sunglasses - LCR;Aprilia;4;?;27.0;AU
2014;Moto3;MAL;Sepang;2475;Marquez Alex;Estrella Galicia 00;Honda;5;11;12.0;ES
2013;Moto3;?;?;2471;Rins Alex;Estrella Galicia 00;KTM;2;?;42.0;ES
2008;MotoGP;JPN;Motegi;1762;Rossi Valentino;Fiat Yamaha Team;Yamaha;1;25;46.0;IT
?;?;VAL;Ricardo Tormo;2540;Ramirez Marcos;Platinum Bay Real Estate;?;3;16;?;ES
2011;?;NED;?;2032;Stoner Casey;Repsol Honda Team;Honda;2;20;27.0;AU
2015;Moto2;?;Texas;?;Zarco Johann;Ajo Motorsport;Kalex;2;20;5.0;FR
?;?;?;?;2561;Arenas Albert;Gaviota Angel Nieto Team;KTM;1;25;75.0;ES
2010;125cc;SPA;Jerez;2206;?;?;Aprilia;4;?;38.0;?
2016;Moto2;RSM;Misano;2517;Morbidelli Franco;Estrella Galicia 00 Marc VDS;Kalex;5;11;21.0;IT
?;MotoGP;CAT;Catalunya;?;Pedrosa Dani;Repsol Honda Team;Honda;?;16;?;ES
2016;MotoGP;?;Sachsenring;2055;Dovizioso Andrea;Ducati Team;?;3;?;4.0;IT
2009;250cc;AUS;Phillip Island;2165;Cluzel Jules;Matteoni Racing;Aprilia;?;?;16.0;FR
2015;Moto3;CAT;Catalunya;2473;Antonelli Niccolo;Ongetta-Rivacold;Honda;4;?;?;?
?;Moto3;EUR;?;2658;?;?;?;2;20;11.0;ES
2020;Moto3;RSM;Misano;2566;?;SIC58 Squadra Corse;Honda;3;16;24.0;?
2007;?;?;Catalunya;?;Luthi Thomas;Emmi - Caffe Latte Aprilia;Aprilia;4;13;?;CH
2008;MotoGP;GER;Sachsenring;1981;De Angelis Alex;San Carlo Honda Gresini;Honda;?;13;?;SM
2006;250cc;SPA;?;2081;Takahashi Yuki;Humangest Racing Team;Honda;4;13;?;JP
2007;250cc;CZE;Brno;2052;Barbera Hector;Team Toth Aprilia;Aprilia;4;13;80.0;ES
2006;MotoGP;FRA;Le Mans;1854;?;Fortuna Honda;Honda;1;25;33.0;?
2009;MotoGP;CAT;Catalunya;2055;Dovizioso Andrea;Repsol Honda Team;Honda;4;13;4.0;IT
2009;125cc;GBR;?;2065;?;Bancaja Aspar Team 125cc;?;1;25;60.0;ES
?;Moto2;QAT;Losail;2553;Gardner Remy;Red Bull KTM Ajo;Kalex;2;20;?;AU
2021;MotoGP;ARA;Aragon;?;Mir Joan;Team SUZUKI ECSTAR;Suzuki;3;16;36.0;ES
2018;?;NED;Assen;?;Bastianini Enea;Leopard Racing;?;3;16;33.0;IT
2008;250cc;ITA;Mugello;2080;?;Metis Gilera;?;1;25;58.0;IT
2005;250cc;CAT;Catalunya;2064;?;MS Aprilia Italia Corse;Aprilia;5;11;24.0;IT
2009;250cc;RSM;?;2130;?;Team Toth Aprilia;Aprilia;?;20;?;IT
?;Moto2;CAT;Catalunya;?;Abraham Karel;?;FTR;?;13;17.0;?
2013;?;?;Losail;?;Rins Alex;Estrella Galicia 00;KTM;3;?;42.0;?
2019;Moto2;CZE;Brno;?;Navarro Jorge;?;?;4;13;9.0;ES
2006;250cc;GBR;Donington Park;?;Lorenzo Jorge;?;Aprilia;?;25;?;ES
2017;MotoGP;ARG;Rio Hondo;2059;Bautista Alvaro;Pull&Bear Aspar Team;?;4;?;19.0;ES
2017;Moto3;CZE;?;2590;Bendsneyder Bo;Red Bull KTM Ajo;KTM;4;13;64.0;NL
?;125cc;?;Indianapolis;2428;Vinales Maverick;Blusens by Paris Hilton Racing;?;2;?;25.0;ES
2009;MotoGP;SPA;Jerez;1762;?;?;Yamaha;1;?;46.0;IT
?;MotoGP;VAL;Ricardo Tormo;2015;Pedrosa Dani;Repsol Honda Team;Honda;4;13;26.0;ES
2014;Moto2;QAT;Losail;?;Luthi Thomas;?;Suter;3;16;?;CH
2014;?;?;?;?;Rins Alex;Estrella Galicia 00;Honda;5;11;42.0;ES
2006;125cc;?;Istanbul;?;Bautista Alvaro;?;Aprilia;2;20;19.0;ES
2016;Moto2;GBR;Silverstone;2315;Folger Jonas;Dynavolt Intact GP;Kalex;5;11;?;DE
2010;Moto2;NED;Assen;2242;Tomizawa Shoya;?;Suter;5;11;48.0;JP
