Japan;Government of Japan;?;?;?;?;1987;East Asia;?;2
Mauritania;?;2016;CF;737-800;Jul;?;Africa;1;1
Finland;Finnair;1975;GE;?;Jan;1971;?;2;?
United Arab Emirates;Novus Aviation Capital;2021;GE;777-300ER;Nov;?;Middle East;1;?
Canada;Canadian Airlines;?;GE;?;Apr;?;North America;?;?
Canada;?;1991;PW;747-400M;Jan;1989;North America;3;?
?;Philippine Airlines;1996;?;747-400M;Jan;?;Southeast Asia;1;1
?;?;?;CF;?;Jun;1988;?;1;1
United Arab Emirates;Etihad Airways;?;?;777-300ER;Mar;2008;Middle East;?;2
USA;Playboy;1969;PW;DC-9;Jun;?;?;1;?
?;Copa Airlines;?;CF;?;Jan;?;Central America and Mexico;?;4
USA;?;1988;CF;737-300;Jan;1986;North America;5;5
?;?;1998;?;MD-11;Mar;1998;Europe;?;1
USA;AirTran Airways (Merged with S;?;?;?;?;2006;North America;1;1
Chile;?;1997;CF;737-500;?;1996;South America;?;1
Nigeria;Arik Air;2010;?;?;Sep;2007;Africa;1;1
Sweden;Linjeflyg;?;CF;737-500;Aug;?;?;1;?
USA;Air Florida;?;?;?;Jan;?;?;?;?
Romania;Socialist Republic of Romania;?;?;707/720;Mar;1973;Europe;?;1
?;Japan Airlines Co. Ltd.;?;PW;?;Jan;1973;?;?;?
USA;Hawaiian Airlines;1981;?;?;Jan;?;North America;?;2
Kenya;?;2002;CF;737-700;Mar;2000;Africa;1;1
?;Nok Air;2015;CF;?;May;2014;Southeast Asia;2;2
USA;Jet America Airlines;1981;PW;MD-80;Jan;1980;North America;1;1
Germany;Lufthansa;?;PW;?;Jan;1968;Europe;2;?
United Kingdom;Paramount Airways - (Inactive);?;PW;MD-80;Dec;?;Europe;?;?
Nigeria;?;1977;?;?;Jan;1977;Africa;1;?
Bermuda;?;?;CF;737-300;Dec;1997;?;1;1
USA;PACE Airlines;?;PW;737-200;Mar;?;North America;1;1
Portugal;TAP Portugal;1981;PW;727;Jan;?;Europe;1;1
USA;?;?;?;737-700W;Dec;2006;North America;1;1
USA;?;1995;?;767-300F;Jan;1993;?;5;?
Azerbaijan;Silk Way Airlines;2015;GE;747-8F;?;2015;Central Asia;?;1
Bahrain;Gulf Air;2019;RR;787-9;Jan;?;Middle East;?;2
Vietnam;Vietnam Airlines;2004;PW;777-200ER;Jan;2002;Southeast Asia;2;?
Canada;CP Air;1968;?;?;?;1967;North America;?;5
Chile;LADECO;1980;PW;?;May;1980;South America;1;1
USA;M&T Aviation USA Inc;?;?;737-700;?;1996;North America;?;?
