077XX S PHILLIPS AVE;?;ROBBERY;AGGRAVATED;SIDEWALK;0;0;4.0;7.0;?
?;0820;THEFT;?;OTHER;?;?;4.0;7.0;?
076XX N ROGERS AVE;0810;THEFT;OVER $500;STREET;?;0;24.0;49.0;1.0
?;0560;?;SIMPLE;APARTMENT;0;?;8.0;13.0;65.0
076XX S COLES AVE;0820;THEFT;$500 AND UNDER;OTHER;0;?;4.0;7.0;43.0
?;0910;?;AUTOMOBILE;STREET;?;?;?;?;70.0
?;0486;BATTERY;DOMESTIC BATTERY SIMPLE;STREET;1;?;7.0;?;67.0
?;0810;THEFT;OVER $500;STREET;0;0;14.0;1.0;?
031XX W DOUGLAS BLVD;0430;BATTERY;AGGRAVATED: OTHER DANG WEAPON;STREET;?;?;10.0;24.0;?
055XX W CONGRESS PKWY;0910;MOTOR VEHICLE THEFT;?;RESIDENCE;0;0;15.0;29.0;25.0
003XX S CAMPBELL AVE;?;MOTOR VEHICLE THEFT;AUTOMOBILE;?;0;0;?;2.0;?
012XX W 18TH ST;?;THEFT;FROM BUILDING;BAR OR TAVERN;?;0;12.0;25.0;?
012XX S KOLIN AVE;0560;ASSAULT;?;?;0;?;?;24.0;29.0
?;0820;THEFT;?;APARTMENT;0;1;6.0;8.0;44.0
?;141A;WEAPONS VIOLATION;UNLAWFUL USE HANDGUN;STREET;?;?;20.0;?;?
?;5007;OTHER OFFENSE;OTHER WEAPONS VIOLATION;AIRPORT TERMINAL UPPER LEVEL - SECURE AREA;0;0;16.0;41.0;?
?;0496;BATTERY;AGGRAVATED DOMESTIC BATTERY: KNIFE/CUTTING INST;RESIDENCE;0;?;9.0;16.0;61.0
022XX N LECLAIRE AVE;?;BURGLARY;UNLAWFUL ENTRY;RESIDENCE;0;?;?;31.0;19.0
?;1811;NARCOTICS;POSS: CANNABIS 30GMS OR LESS;RESIDENCE;1;0;7.0;15.0;67.0
030XX S UNION AVE;?;?;?;?;0;0;?;11.0;60.0
067XX S PEORIA ST;?;MOTOR VEHICLE THEFT;?;RESIDENTIAL YARD (FRONT/BACK);0;0;7.0;17.0;68.0
078XX S DREXEL AVE;?;DECEPTIVE PRACTICE;FINANCIAL IDENTITY THEFT $300 AND UNDER;?;?;0;6.0;6.0;?
0000X W B9 ST;0820;THEFT;$500 AND UNDER;?;0;0;?;?;76.0
010XX W BELMONT AVE;0560;?;SIMPLE;?;0;0;19.0;?;?
?;0486;?;DOMESTIC BATTERY SIMPLE;?;?;?;4.0;7.0;43.0
?;2820;?;TELEPHONE THREAT;RESIDENCE;0;1;22.0;?;73.0
?;?;THEFT;?;?;1;0;?;?;?
?;2024;?;POSS: HEROIN(WHITE);?;1;0;7.0;17.0;67.0
122XX S HARVARD AVE;1153;DECEPTIVE PRACTICE;?;RESIDENCE;0;0;?;34.0;53.0
075XX N PAULINA ST;1210;DECEPTIVE PRACTICE;THEFT OF LABOR/SERVICES;CTA STATION;0;0;24.0;?;?
051XX S CICERO AVE;0312;ROBBERY;?;SMALL RETAIL STORE;0;0;?;23.0;56.0
027XX S DEARBORN ST;0484;BATTERY;PRO EMP HANDS NO/MIN INJURY;SCHOOL PUBLIC BUILDING;?;?;?;3.0;35.0
?;?;BATTERY;?;SIDEWALK;?;0;18.0;?;8.0
075XX S EXCHANGE AVE;?;DECEPTIVE PRACTICE;?;TAVERN/LIQUOR STORE;0;0;?;7.0;?
?;031A;ROBBERY;ARMED: HANDGUN;ALLEY;?;0;?;28.0;26.0
018XX S LOOMIS ST;0560;?;?;APARTMENT;1;1;?;?;31.0
003XX N PINE AVE;1811;NARCOTICS;?;SIDEWALK;1;0;15.0;28.0;25.0
?;0810;THEFT;OVER $500;?;?;?;14.0;32.0;?
008XX N MICHIGAN AVE;0860;?;RETAIL THEFT;DEPARTMENT STORE;0;0;?;42.0;8.0
024XX W WINNEMAC AVE;0890;THEFT;?;RESIDENCE-GARAGE;?;?;?;47.0;4.0
010XX E 95TH ST;0560;ASSAULT;SIMPLE;?;0;?;4.0;8.0;?
?;051A;ASSAULT;?;ALLEY;?;0;7.0;?;?
?;0486;?;DOMESTIC BATTERY SIMPLE;ALLEY;?;?;?;21.0;71.0
?;0910;?;AUTOMOBILE;PARKING LOT/GARAGE(NON.RESID.);1;0;9.0;14.0;58.0
010XX N FRANCISCO AVE;?;?;?;HOSPITAL BUILDING/GROUNDS;0;?;12.0;?;?
073XX S YATES BLVD;4387;?;?;APARTMENT;?;1;?;7.0;43.0
001XX N SANGAMON ST;0910;?;AUTOMOBILE;?;0;0;12.0;27.0;28.0
054XX S MILLARD AVE;051A;ASSAULT;AGGRAVATED: HANDGUN;STREET;0;0;?;?;62.0
023XX S BLUE ISLAND AVE;?;BATTERY;AGGRAVATED: OTHER DANG WEAPON;BAR OR TAVERN;1;?;10.0;25.0;31.0
010XX W ADDISON ST;?;THEFT;?;PARKING LOT/GARAGE(NON.RESID.);?;?;?;44.0;6.0
078XX S ESCANABA AVE;?;ASSAULT;?;?;0;?;4.0;7.0;?
008XX W MARGATE TER;1310;CRIMINAL DAMAGE;TO PROPERTY;APARTMENT;0;0;20.0;48.0;3.0
015XX W DIVISION ST;0890;?;?;BAR OR TAVERN;0;?;?;?;24.0
?;1320;?;?;STREET;0;0;?;8.0;43.0
028XX W WILCOX ST;0930;?;?;RESIDENTIAL YARD (FRONT/BACK);0;0;?;?;?
?;?;BATTERY;AGGRAVATED OF A SENIOR CITIZEN;?;?;0;3.0;7.0;43.0
